City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Shubarkuduk,KZ,2022-04-15 11:03:35,49.1447,56.4872,60.17,34,1,9.31
68,Saint-Philippe,RE,2022-04-15 11:03:35,-21.3585,55.7679,83.21,82,39,15.5
69,Khatanga,RU,2022-04-15 11:03:35,71.9667,102.5,11.35,84,96,12.26
70,Lingyuan,CN,2022-04-15 11:03:36,41.24,119.4011,52.48,14,0,4.61
71,Kapaa,US,2022-04-15 11:03:36,22.0752,-159.319,73.11,81,20,14.97
72,Hobyo,SO,2022-04-15 11:03:37,5.3505,48.5268,87.08,57,85,11.61
73,Arraial Do Cabo,BR,2022-04-15 11:03:37,-22.9661,-42.0278,75.06,57,40,16.11
74,Puerto Escondido,MX,2022-04-15 11:03:37,15.85,-97.0667,78.6,77,69,2.62
75,Quatre Cocos,MU,2022-04-15 11:03:38,-20.2078,57.7625,82.51,67,18,17.0
76,Touros,BR,2022-04-15 11:03:38,-5.1989,-35.4608,82.9,73,76,4.92
77,Tiradentes,BR,2022-04-15 11:03:39,-21.1103,-44.1781,61.83,93,98,7.18
78,Vao,NC,2022-04-15 11:03:39,-22.6667,167.4833,73.11,92,100,8.14
79,Urumqi,CN,2022-04-15 11:00:09,43.801,87.6005,50.95,10,0,13.42
80,Kahului,US,2022-04-15 11:03:40,20.8947,-156.47,73.85,73,0,14.97
81,Ashland,US,2022-04-15 11:03:40,40.8167,-82.2665,46.96,54,14,15.17
82,Geraldton,AU,2022-04-15 11:03:40,-28.7667,114.6,72.01,83,0,10.36
83,Lehi,US,2022-04-15 11:00:06,40.3916,-111.8508,43.83,76,97,8.99
84,Svetlaya,RU,2022-04-15 11:03:41,46.5389,138.3297,33.78,83,11,5.14
85,Mar Del Plata,AR,2022-04-15 11:02:36,-38.0023,-57.5575,52.88,86,0,3.0
86,Mahebourg,MU,2022-04-15 11:03:41,-20.4081,57.7,82.69,69,40,12.66
87,Jumla,NP,2022-04-15 11:03:42,29.2747,82.1838,64.9,25,76,7.34
88,Cochabamba,BO,2022-04-15 11:03:42,-17.3895,-66.1568,52.81,87,40,0.0
89,Channel-Port Aux Basques,CA,2022-04-15 11:04:43,47.5702,-59.1367,36.37,80,47,9.78
90,Takoradi,GH,2022-04-15 11:04:43,4.8845,-1.7554,82.87,74,100,4.9
91,Namibe,AO,2022-04-15 11:04:44,-15.1961,12.1522,79.0,65,96,11.27
92,Hasaki,JP,2022-04-15 11:04:44,35.7333,140.8333,50.4,89,100,30.47
93,Lorengau,PG,2022-04-15 11:04:45,-2.0226,147.2712,81.84,79,69,6.55
94,Arinos,BR,2022-04-15 11:04:45,-15.9169,-46.1056,77.52,65,76,2.93
95,Sao Filipe,CV,2022-04-15 11:04:45,14.8961,-24.4956,72.01,74,4,7.58
96,Turukhansk,RU,2022-04-15 11:04:46,65.8167,87.9833,34.23,100,100,12.66
97,Pisco,PE,2022-04-15 11:04:46,-13.7,-76.2167,60.03,88,10,2.3
98,Mbumi,TZ,2022-04-15 11:04:46,-7.9058,39.2105,81.19,90,100,5.79
99,Amritsar,IN,2022-04-15 11:04:46,31.6331,74.8656,98.42,15,15,11.5
100,Faya,SA,2022-04-15 11:04:47,18.3851,42.4509,79.32,24,29,13.96
101,Vostok,RU,2022-04-15 11:04:47,46.4856,135.8833,25.65,78,11,4.61
102,Lata,PT,2022-04-15 11:04:47,40.1629,-8.3327,74.48,50,3,2.01
103,Coquimbo,CL,2022-04-15 11:02:12,-29.9533,-71.3436,57.27,82,73,3.42
104,Zyryanka,RU,2022-04-15 11:04:48,65.75,150.85,10.4,94,100,8.23
105,Qaanaaq,GL,2022-04-15 11:04:49,77.484,-69.3632,-3.73,89,100,1.97
106,Tuatapere,NZ,2022-04-15 11:04:49,-46.1333,167.6833,56.55,74,96,9.51
107,Vaitape,PF,2022-04-15 11:04:49,-16.5167,-151.75,81.32,73,9,17.2
108,Port Alfred,ZA,2022-04-15 11:01:27,-33.5906,26.891,62.19,92,100,5.01
109,Olden,NO,2022-04-15 11:04:50,61.8364,6.8064,48.94,100,77,5.12
110,La Mira,MX,2022-04-15 11:04:50,18.035,-102.3266,69.1,85,87,4.41
111,Griffith,US,2022-04-15 11:04:50,41.5284,-87.4237,43.38,43,100,11.5
112,Lushoto,TZ,2022-04-15 11:04:51,-4.7833,38.2833,70.88,73,97,4.83
113,Starozhilovo,RU,2022-04-15 11:04:51,54.2254,39.916,51.04,47,79,8.97
114,Gamba,GA,2022-04-15 11:04:51,-2.65,10.0,84.56,69,100,3.69
115,Kenai,US,2022-04-15 11:04:51,60.5544,-151.2583,35.1,90,75,4.61
116,Butaritari,KI,2022-04-15 11:04:52,3.0707,172.7902,81.54,71,100,4.36
117,Cherskiy,RU,2022-04-15 11:04:52,68.75,161.3,8.24,99,76,5.68
118,Iralaya,HN,2022-04-15 11:04:53,15.0,-83.2333,77.88,79,81,8.72
119,Carnarvon,AU,2022-04-15 11:04:53,-24.8667,113.6333,78.87,73,80,9.22
120,Tual,ID,2022-04-15 11:04:53,-5.6667,132.75,84.56,70,89,3.69
121,Chapais,CA,2022-04-15 11:04:54,49.7834,-74.8492,28.47,88,19,6.93
122,Jalu,LY,2022-04-15 11:04:54,29.0331,21.5482,90.09,10,100,25.41
123,Bluff,NZ,2022-04-15 11:04:55,-46.6,168.3333,58.8,75,98,17.56
124,Rodrigues Alves,BR,2022-04-15 11:04:55,-7.738,-72.6509,70.43,100,99,2.13
125,Ono,JP,2022-04-15 11:04:55,34.85,134.9333,56.8,81,100,8.77
126,Urusha,RU,2022-04-15 11:04:56,54.05,122.9,29.79,56,96,6.08
127,Severo-Kurilsk,RU,2022-04-15 11:04:56,50.6789,156.125,25.47,85,21,6.82
128,Ostrovnoy,RU,2022-04-15 11:04:57,68.0531,39.5131,30.27,86,66,10.49
129,Fortuna,US,2022-04-15 11:04:57,40.5982,-124.1573,35.65,95,0,6.91
130,Maua,BR,2022-04-15 11:03:42,-23.6678,-46.4614,60.6,82,80,8.21
131,Japura,ID,2022-04-15 11:04:57,-0.3167,102.35,80.24,86,99,2.64
132,Farrukhabad,IN,2022-04-15 11:04:58,27.4,79.5667,106.88,6,52,11.05
133,Forest,US,2022-04-15 11:02:58,37.3638,-79.2897,46.24,60,0,0.0
134,Mangrol,IN,2022-04-15 11:04:58,21.1167,70.1167,87.12,56,0,13.82
135,Castro,BR,2022-04-15 11:05:59,-24.7911,-50.0119,52.81,81,62,3.76
136,Nanortalik,GL,2022-04-15 11:05:59,60.1432,-45.2371,25.29,73,100,17.0
137,Yenangyaung,MM,2022-04-15 11:06:00,20.4667,94.8833,99.57,29,33,14.63
138,Lavrentiya,RU,2022-04-15 11:06:00,65.5833,-171.0,27.75,94,95,13.85
139,Waren,DE,2022-04-15 11:06:01,53.5167,12.6833,45.77,89,100,12.8
140,Shache,CN,2022-04-15 11:06:01,38.4167,77.2406,76.84,14,0,10.49
141,Terenos,BR,2022-04-15 11:06:01,-20.4422,-54.8603,62.31,82,0,9.22
142,Anjar,IN,2022-04-15 11:02:07,23.1333,70.0167,102.96,16,1,21.3
143,Bathurst,AU,2022-04-15 11:01:02,-33.4166,149.5806,58.82,74,100,3.49
144,Victoria,HK,2022-04-15 11:06:02,22.2855,114.1577,76.17,71,6,18.01
145,Barrow,US,2022-04-15 11:06:02,71.2906,-156.7887,-3.98,77,0,18.41
146,Talnakh,RU,2022-04-15 11:06:03,69.4865,88.3972,34.21,96,100,21.32
147,Ho Chi Minh City,VN,2022-04-15 11:06:03,10.75,106.6667,86.02,84,40,4.61
148,Cabo San Lucas,MX,2022-04-15 11:01:06,22.8909,-109.9124,68.5,60,99,8.63
149,Luena,AO,2022-04-15 11:04:17,-11.7833,19.9167,75.2,70,100,4.85
150,Jacareacanga,BR,2022-04-15 11:06:04,-6.2222,-57.7528,73.53,99,100,0.07
151,Aykhal,RU,2022-04-15 11:06:04,66.0,111.5,6.66,94,96,5.55
152,Fayaoue,NC,2022-04-15 11:06:04,-20.65,166.5333,76.46,85,97,3.78
153,Gualeguay,AR,2022-04-15 11:06:05,-33.1416,-59.3097,46.22,84,0,5.82
154,Alofi,NU,2022-04-15 11:06:05,-19.0595,-169.9187,81.37,74,11,10.92
155,Cap Malheureux,MU,2022-04-15 11:06:06,-19.9842,57.6142,82.47,73,5,5.99
156,Warrnambool,AU,2022-04-15 11:06:06,-38.3833,142.4833,62.82,94,94,4.74
157,Port Blair,IN,2022-04-15 11:06:06,11.6667,92.75,87.1,60,2,8.08
158,Alamor,EC,2022-04-15 11:06:07,-4.0181,-80.0197,58.82,94,88,2.04
159,Cap-Aux-Meules,CA,2022-04-15 11:06:07,47.3821,-61.8597,34.59,87,84,13.76
160,Celestun,MX,2022-04-15 11:06:08,20.8667,-90.4,75.83,85,44,13.62
161,Airai,TL,2022-04-15 11:06:08,-8.9266,125.4092,63.03,95,99,2.08
162,Seoul,KR,2022-04-15 11:04:47,37.5683,126.9778,54.84,34,58,6.69
